"Date","Time","Fujita","Fatalities","Injuries","Width","Length","Damage"
"5/11/00",17:45:00,0,0,0,30,0.3,"-"
"5/11/00",18:03:00,3,1,25,210,18.6,"$1.75"
"5/11/00",18:55:00,2,0,0,120,3.6,"$0.35"
"5/11/00",19:19:00,0,0,0,10,0.1,"$0.00"
"5/11/00",19:20:00,2,0,0,150,5,"$0.30"
"5/11/00",19:20:00,1,0,0,330,8,"$1.50"
"5/11/00",19:45:00,0,0,0,220,5.5,"$0.05"
"5/18/00",09:20:00,0,0,0,20,0.2,"-"
"5/18/00",09:31:00,0,0,0,20,0.1,"$0.00"
"5/18/00",09:33:00,0,0,0,20,0.1,"$0.00"
"5/18/00",09:58:00,0,0,0,30,1,"$0.00"
"5/18/00",11:01:00,1,0,0,30,2,"$0.01"
"5/18/00",11:17:00,0,0,0,20,0.2,"$0.00"
"5/18/00",12:45:00,0,0,0,10,3.6,"$0.00"
"5/18/00",13:12:00,0,0,0,10,0.1,"-"
"5/18/00",13:20:00,0,0,0,10,0.1,"-"
"5/22/00",19:35:00,0,0,0,10,0.1,"-"
"5/30/00",18:28:00,0,0,0,20,0.1,"-"
"5/30/00",18:46:00,0,0,0,20,0.1,"-"
"5/30/00",18:59:00,0,0,0,20,0.1,"-"
"5/30/00",20:35:00,1,0,0,40,8,"$0.10"
"5/30/00",21:00:00,0,0,0,20,0.1,"-"
"5/31/00",10:38:00,0,0,1,10,0.1,"$0.05"
"5/31/00",11:00:00,0,0,0,10,0.1,"$0.01"
"6/1/00",17:08:00,1,0,0,50,10.7,"$0.01"
"6/12/00",16:03:00,0,0,0,20,0.1,"-"
"6/12/00",16:30:00,0,0,0,20,0.1,"-"
"6/13/00",14:10:00,1,0,0,330,10.6,"$0.03"
"6/13/00",14:15:00,0,0,0,50,0.5,"$0.01"
"6/13/00",15:20:00,0,0,0,100,3,"-"
"6/13/00",15:26:00,0,0,0,150,8,"-"
"6/13/00",17:44:00,1,0,0,40,14,"$0.15"
"6/13/00",18:37:00,0,0,0,20,0.2,"$0.01"
"6/23/00",13:18:00,0,0,0,20,0.2,"$0.00"
"6/25/00",16:22:00,0,0,0,20,0.2,"-"
"7/2/00",15:35:00,0,0,0,50,2,"-"
"7/9/00",20:15:00,1,0,0,100,3,"$0.06"
"7/9/00",21:30:00,1,0,0,100,0.5,"$0.10"
"7/11/00",19:36:00,0,0,0,50,0.1,"-"
"7/26/00",14:15:00,0,0,0,20,0.2,"$0.00"
"7/26/00",14:18:00,1,0,0,40,3.6,"$0.01"
"7/26/00",17:00:00,0,0,0,10,0.1,"-"
"9/13/00",19:30:00,0,0,0,20,0.2,"-"
"10/13/00",17:45:00,1,0,0,50,14,"$0.08"
"10/31/00",20:08:00,1,0,0,70,2.5,"$0.04"
"4/8/01",20:25:00,0,0,0,20,0.2,"-"
"4/8/01",20:38:00,0,0,0,30,0.3,"$0.00"
"4/8/01",20:50:00,0,0,0,10,0.1,"-"
"4/8/01",21:49:00,1,0,1,50,1,"$0.10"
"4/8/01",21:50:00,0,0,0,20,0.1,"-"
"4/11/01",10:30:00,3,0,0,500,76.5,"$1.95"
"4/11/01",11:37:00,0,0,0,40,2,"$0.02"
"4/11/01",11:45:00,1,0,0,40,2,"$0.05"
"4/11/01",11:55:00,1,0,0,40,0.5,"$0.11"
"4/11/01",11:55:00,0,0,0,30,2,"-"
"4/11/01",12:00:00,0,0,0,30,0.2,"-"
"4/11/01",12:30:00,0,0,0,30,0.2,"$0.01"
"4/11/01",12:37:00,0,0,0,35,0.5,"-"
"4/11/01",13:25:00,1,0,0,75,2,"$0.06"
"4/11/01",13:45:00,0,0,0,25,0.5,"-"
"4/11/01",14:04:00,0,0,0,25,0.7,"$0.01"
"4/11/01",14:05:00,0,0,0,35,1,"$0.01"
"4/11/01",14:06:00,1,0,0,140,3,"$0.15"
"4/11/01",14:10:00,1,0,0,40,4,"$0.07"
"4/11/01",14:37:00,0,0,0,25,0.2,"$0.03"
"4/11/01",14:38:00,1,0,0,50,2.2,"$0.07"
"4/11/01",14:40:00,1,0,0,45,17.5,"$0.01"
"4/11/01",15:00:00,2,2,3,100,8.4,"$0.40"
"4/11/01",15:25:00,0,0,0,50,3,"$0.09"
"4/11/01",15:40:00,0,0,0,10,0.1,"-"
"4/11/01",15:50:00,0,0,0,10,0.1,"-"
"4/11/01",16:00:00,0,0,0,50,2,"$0.03"
"4/11/01",16:02:00,0,0,0,10,0.1,"-"
"4/11/01",16:07:00,1,0,0,50,10,"$0.12"
"4/11/01",16:20:00,0,0,0,10,0.1,"-"
"4/11/01",16:20:00,0,0,0,10,0.1,"-"
"4/11/01",16:20:00,0,0,0,10,0.1,"$0.02"
"4/11/01",16:50:00,1,0,1,75,2,"$0.04"
"4/15/01",14:15:00,0,0,0,10,0.1,"-"
"4/20/01",23:46:00,1,0,0,50,0.6,"$0.50"
"4/23/01",07:15:00,0,0,0,30,0.3,"$0.04"
"4/23/01",07:26:00,1,0,3,220,5,"<$50"
"4/30/01",16:30:00,0,0,0,100,3,"-"
"4/30/01",16:35:00,0,0,0,100,3,"-"
"4/30/01",18:59:00,0,0,0,100,3,"-"
"5/10/01",15:37:00,0,0,0,25,0.2,"$0.00"
"5/10/01",16:04:00,2,0,0,200,1.7,"$0.15"
"5/10/01",16:14:00,0,0,0,10,0.1,"-"
"5/10/01",16:15:00,2,0,0,875,8,"$0.07"
"5/10/01",16:20:00,1,0,0,100,1,"$0.05"
"5/10/01",16:27:00,0,0,0,30,0.3,"$0.01"
"5/10/01",16:29:00,1,0,0,50,1,"$0.01"
"5/10/01",16:38:00,0,0,0,10,0.1,"-"
"5/10/01",16:40:00,0,0,0,25,0.2,"$0.00"
"5/10/01",16:43:00,0,0,0,25,0.2,"$0.00"
"5/10/01",17:00:00,0,0,0,75,1,"$0.01"
"5/10/01",20:18:00,0,0,0,70,0.5,"$0.07"
"6/1/01",12:25:00,0,0,0,30,0.2,"-"
"6/1/01",12:40:00,0,0,0,35,0.3,"$0.03"
"6/1/01",12:50:00,0,0,0,25,0.1,"-"
"6/1/01",14:35:00,0,0,0,30,0.2,"-"
"6/1/01",15:12:00,1,0,0,100,8.5,"$0.03"
"6/1/01",15:13:00,0,0,0,25,0.1,"-"
"6/1/01",15:25:00,0,0,0,30,0.2,"-"
"6/1/01",15:30:00,0,0,0,25,0.1,"-"
"6/1/01",15:30:00,0,0,0,30,0.2,"$0.00"
"6/1/01",15:52:00,0,0,0,35,0.6,"$0.01"
"6/1/01",15:55:00,1,0,0,150,1,"$0.12"
"6/1/01",15:58:00,0,0,0,10,0.1,"-"
"6/1/01",16:01:00,0,0,0,10,0.1,"-"
"6/1/01",16:06:00,0,0,0,150,3,"$0.02"
"6/1/01",16:11:00,0,0,0,10,0.1,"-"
"6/1/01",16:12:00,0,0,0,10,0.1,"-"
"6/1/01",16:29:00,0,0,0,10,0.1,"$0.01"
"6/1/01",16:34:00,0,0,0,10,0.1,"-"
"6/12/01",10:25:00,0,0,0,25,0.2,"-"
"6/12/01",17:45:00,0,0,0,50,0.1,"-"
"6/12/01",20:12:00,0,0,0,50,0.1,"-"
"6/12/01",20:26:00,0,0,0,50,0.1,"-"
"6/12/01",20:45:00,0,0,0,50,0.1,"-"
"6/12/01",20:46:00,0,0,0,50,0.5,"-"
"6/13/01",19:52:00,0,0,0,50,0.1,"-"
"6/13/01",20:20:00,1,0,0,200,7,"$0.20"
"6/13/01",20:20:00,0,0,0,30,0.1,"-"
"6/13/01",21:10:00,0,0,0,50,0.1,"-"
"6/13/01",21:18:00,0,0,0,50,0.1,"-"
"6/14/01",15:45:00,1,0,0,100,0.1,"$0.04"
"6/14/01",17:01:00,2,0,3,200,6.5,"-"
"6/14/01",17:11:00,1,0,0,500,3,"-"
"6/18/01",18:59:00,0,0,0,25,0.2,"-"
"6/18/01",20:25:00,0,0,0,30,0.2,"-"
"7/24/01",15:36:00,0,0,0,25,0.2,"-"
"8/17/01",16:29:00,1,0,0,100,3,"$0.10"
"8/17/01",16:34:00,0,0,0,5,0.1,"-"
"8/17/01",16:35:00,1,0,0,100,1,"$0.05"
"8/17/01",16:51:00,0,0,0,50,0.1,"-"
"8/17/01",16:55:00,0,0,0,50,0.1,"-"
"8/17/01",17:00:00,0,0,0,50,0.1,"-"
"8/17/01",17:39:00,0,0,0,20,4,"$0.01"
"8/17/01",18:25:00,0,0,0,50,0.1,"-"
"8/17/01",18:47:00,0,0,0,30,0.2,"-"
"8/17/01",19:18:00,1,0,0,50,6.3,"$0.20"
"9/6/01",13:52:00,0,0,0,20,0.5,"-"
"9/6/01",14:34:00,1,0,1,50,2.8,"$0.50"
"9/6/01",16:39:00,2,0,0,100,11.5,"$0.18"
"9/6/01",17:21:00,1,0,0,100,6,"$0.03"
"9/6/01",17:30:00,2,0,0,50,1,"$0.30"
"9/6/01",17:35:00,0,0,0,40,3.5,"$0.10"
"9/20/01",16:30:00,0,0,0,70,0.9,"$0.05"
"9/20/01",17:09:00,1,0,0,50,0.5,"$0.01"
"2/7/02",11:45:00,0,0,0,20,0.1,"-"
"4/17/02",17:29:00,0,0,0,25,2,"-"
"4/17/02",21:40:00,0,0,0,40,0.5,"$0.00"
"4/17/02",22:45:00,0,0,0,35,0.3,"$0.00"
"4/18/02",17:00:00,0,0,0,25,0.2,"$0.00"
"4/18/02",17:30:00,0,0,0,30,0.2,"$0.00"
"4/18/02",17:49:00,0,0,0,30,0.3,"$0.00"
"4/18/02",17:50:00,1,0,0,60,8.5,"$0.01"
"4/18/02",18:08:00,0,0,0,30,0.3,"$0.00"
"4/27/02",15:41:00,0,0,0,20,NA,"-"
"4/27/02",15:50:00,0,0,0,20,NA,"-"
"4/27/02",15:58:00,0,0,0,20,NA,"-"
"5/8/02",17:58:00,0,0,0,25,0.2,"-"
"5/8/02",19:10:00,0,0,0,20,0.1,"$0.01"
"5/8/02",19:15:00,0,0,0,30,0.2,"-"
"5/8/02",20:45:00,0,0,0,10,0.1,"$0.03"
"6/1/02",16:07:00,1,0,0,70,2.5,"$0.06"
"6/7/02",16:55:00,0,0,0,50,0.1,"-"
"6/12/02",11:16:00,0,0,0,10,0.1,"-"
"6/12/02",17:25:00,0,0,0,10,0.1,"-"
"6/12/02",18:13:00,0,0,0,10,0.1,"-"
"6/20/02",20:10:00,0,0,0,100,5,"-"
"6/21/02",12:18:00,1,0,0,40,12,"-"
"6/21/02",17:15:00,0,0,0,30,0.5,"-"
"6/26/02",09:33:00,0,0,0,10,0.1,"-"
"6/26/02",13:22:00,0,0,0,25,0.3,"$0.01"
"6/26/02",15:14:00,0,0,0,20,NA,"-"
"7/26/02",19:48:00,1,0,0,400,1.5,"-"
"7/26/02",20:29:00,1,0,0,60,7,"$0.01"
"8/21/02",17:15:00,1,0,0,100,1.6,"-"
"8/21/02",18:00:00,0,0,0,10,0.1,"-"
"8/23/02",19:06:00,0,0,0,10,0.1,"-"
"8/26/02",14:08:00,0,0,0,20,0.1,"-"
"9/29/02",17:50:00,0,0,0,10,1,"-"
"4/30/03",17:30:00,0,0,0,25,2.5,"-"
"4/30/03",17:35:00,0,0,0,880,16,"$0.20"
"4/30/03",17:45:00,0,0,0,20,0.2,"-"
"5/10/03",16:26:00,1,0,0,50,18.5,"$0.32"
"5/10/03",17:27:00,0,0,0,25,0.1,"-"
"5/10/03",17:28:00,2,0,0,200,11.5,"<$50"
"5/10/03",18:10:00,0,0,0,100,4,"$0.10"
"5/10/03",18:23:00,0,0,0,100,5,"$0.10"
"5/10/03",18:33:00,0,0,0,100,2.4,"$0.10"
"5/10/03",18:44:00,1,0,0,200,27.9,"$50-$500"
"6/9/03",19:20:00,0,0,0,50,0.1,"-"
"6/23/03",21:51:00,0,0,0,50,0.1,"-"
"6/24/03",16:53:00,0,0,0,30,0.3,"-"
"6/24/03",22:12:00,0,0,0,50,0.1,"-"
"7/4/03",01:08:00,0,0,0,20,0.1,"-"
"7/7/03",03:06:00,0,0,0,50,2.5,"$0.02"
"7/9/03",16:44:00,0,0,0,25,0.2,"-"
"7/14/03",20:08:00,0,0,0,25,0.1,"-"
"7/14/03",20:15:00,0,0,0,30,0.2,"-"
"7/20/03",18:05:00,0,0,0,50,0.1,"-"
"7/20/03",19:15:00,0,0,0,25,0.1,"-"
"7/20/03",21:17:00,1,0,0,150,6.8,"$0.20"
"7/20/03",21:47:00,0,0,0,35,3.5,"$0.01"
"7/20/03",21:58:00,2,0,0,300,1,"$0.50"
"7/20/03",22:06:00,2,0,0,200,0.3,"$50-$500"
"7/20/03",22:24:00,1,0,0,440,2.4,"<$50"
"7/20/03",22:52:00,1,0,0,70,0.5,"$0.01"
"9/11/03",13:52:00,0,0,0,50,3.5,"$0.25"
"4/17/04",20:40:00,0,0,0,25,0.2,"-"
"4/18/04",15:58:00,1,0,0,100,4,"$0.05"
"4/18/04",16:15:00,0,0,0,50,0.1,"-"
"4/18/04",19:02:00,0,0,0,50,0.1,"-"
"4/20/04",18:08:00,1,0,0,100,1.3,"$0.03"
"5/1/04",14:10:00,0,0,0,50,3,"-"
"5/8/04",19:55:00,1,0,0,150,8,"-"
"5/8/04",20:25:00,1,0,0,50,7,"$0.10"
"5/9/04",19:15:00,0,0,0,50,0.5,"$0.00"
"5/9/04",19:30:00,0,0,0,50,0.2,"-"
"5/21/04",13:28:00,0,0,0,50,3,"-"
"5/21/04",13:38:00,1,0,0,100,3.5,"$0.00"
"5/21/04",13:49:00,0,0,0,30,0.5,"-"
"5/21/04",14:15:00,0,0,0,40,0.5,"-"
"5/21/04",14:21:00,0,0,0,30,0.3,"-"
"5/21/04",14:22:00,0,0,0,40,0.5,"-"
"5/21/04",15:05:00,0,0,0,50,0.1,"-"
"5/21/04",15:07:00,0,0,0,50,0.1,"-"
"5/21/04",15:13:00,1,0,0,150,1.7,"$0.05"
"5/21/04",15:22:00,3,0,0,200,3,"$0.25"
"5/21/04",15:44:00,0,0,0,50,NA,"-"
"5/21/04",16:06:00,1,0,0,100,6,"$0.04"
"5/21/04",16:12:00,1,0,0,200,1,"$0.23"
"5/21/04",17:00:00,1,0,0,300,5,"$0.03"
"5/21/04",17:08:00,2,0,15,880,12.5,"$2.52"
"5/21/04",18:30:00,0,0,0,25,0.2,"-"
"5/22/04",18:07:00,1,0,0,100,7.1,"$0.05"
"5/22/04",18:11:00,0,0,0,30,0.3,"-"
"5/22/04",18:45:00,0,0,0,50,1.4,"$0.00"
"5/22/04",18:45:00,0,0,0,25,0.2,"-"
"5/22/04",18:55:00,1,0,0,100,5,"$0.00"
"5/22/04",19:06:00,0,0,0,25,0.2,"-"
"5/22/04",19:13:00,0,0,0,50,0.5,"$0.00"
"5/22/04",19:19:00,0,0,0,60,0.2,"-"
"5/22/04",19:19:00,0,0,0,40,0.5,"-"
"5/22/04",19:20:00,0,0,0,25,0.2,"-"
"5/22/04",19:23:00,0,0,0,25,0.2,"-"
"5/22/04",19:27:00,0,0,0,25,0.2,"-"
"5/22/04",19:35:00,0,0,0,25,0.2,"-"
"5/22/04",19:36:00,0,0,0,40,1.5,"$0.01"
"5/22/04",19:40:00,1,0,0,100,17,"$0.01"
"5/22/04",19:45:00,0,0,0,200,2,"-"
"5/22/04",20:06:00,0,0,0,50,2,"-"
"5/22/04",20:15:00,0,0,0,30,0.3,"-"
"5/22/04",22:33:00,0,0,0,30,0.2,"-"
"5/22/04",23:02:00,1,0,0,250,7,"$0.10"
"5/24/04",15:30:00,0,0,0,40,3,"-"
"5/24/04",15:58:00,0,0,0,50,0.5,"-"
"5/24/04",16:40:00,0,0,0,30,0.2,"-"
"5/24/04",18:20:00,0,0,0,30,0.2,"-"
"5/24/04",18:53:00,0,0,0,25,0.1,"$0.00"
"5/28/04",20:27:00,0,0,0,50,0.2,"-"
"5/28/04",20:38:00,0,0,0,50,0.2,"-"
"5/30/04",13:18:00,0,0,0,40,0.3,"$0.00"
"5/30/04",13:23:00,1,0,0,70,0.3,"$0.02"
"5/30/04",13:26:00,0,0,0,40,0.3,"$0.01"
"5/30/04",13:30:00,1,0,0,70,0.5,"$0.02"
"5/30/04",14:28:00,0,0,0,40,0.2,"-"
"5/30/04",14:36:00,1,0,0,50,0.2,"$0.01"
"5/30/04",14:50:00,0,0,0,30,0.2,"-"
"5/30/04",14:51:00,0,0,0,40,0.3,"$0.01"
"5/30/04",14:56:00,0,0,0,30,0.3,"-"
"6/11/04",13:20:00,3,0,0,400,6.1,"$0.05"
"6/11/04",13:49:00,1,0,0,100,1.8,"-"
"6/11/04",14:00:00,1,0,0,450,9,"$0.01"
"6/11/04",14:01:00,0,0,0,100,0.1,"-"
"6/11/04",14:01:00,1,0,0,100,1,"-"
"6/11/04",14:03:00,0,0,0,50,0.1,"-"
"6/11/04",14:05:00,0,0,0,50,0.1,"-"
"6/11/04",14:05:00,2,0,0,200,5.5,"$0.50"
"6/11/04",14:15:00,1,0,0,100,2,"-"
"6/11/04",14:34:00,1,0,0,100,1.5,"-"
"6/11/04",14:50:00,1,0,0,200,6,"$0.01"
"6/11/04",16:17:00,1,0,0,60,4,"$0.00"
"6/11/04",16:40:00,0,0,0,40,4,"$0.10"
"6/11/04",16:56:00,3,0,0,150,12,"$0.19"
"6/11/04",17:35:00,0,0,0,25,0.2,"-"
"6/11/04",17:35:00,0,0,0,30,0.5,"-"
"6/11/04",17:36:00,0,0,0,30,0.5,"-"
"6/11/04",17:39:00,0,0,0,40,0.7,"-"
"6/11/04",18:20:00,0,0,0,40,0.7,"$0.10"
"6/11/04",18:30:00,0,0,0,30,7,"-"
"6/11/04",18:41:00,0,0,0,25,0.3,"-"
"6/11/04",18:49:00,0,0,0,25,0.2,"-"
"6/11/04",19:45:00,0,0,0,40,0.5,"-"
"6/11/04",20:01:00,0,0,0,25,0.1,"-"
"6/16/04",12:55:00,0,0,0,20,0.1,"-"
"6/16/04",13:47:00,1,0,0,40,5,"-"
"6/16/04",13:48:00,0,0,0,20,0.2,"-"
"6/16/04",14:49:00,0,0,0,20,0.2,"-"
"7/5/04",14:50:00,0,0,0,30,0.2,"-"
"7/5/04",16:40:00,0,0,0,20,0.2,"$0.01"
"7/5/04",17:35:00,0,0,0,20,0.2,"-"
"8/3/04",15:53:00,0,0,0,50,0.7,"$0.02"
"8/3/04",16:00:00,1,0,0,100,3,"$0.07"
"8/3/04",16:20:00,1,0,0,100,5,"$0.10"
"8/8/04",16:00:00,0,0,0,25,0.1,"-"
"8/16/04",18:10:00,0,0,0,40,0.6,"$0.00"
"8/16/04",18:16:00,1,0,0,75,1.7,"$0.00"
"8/26/04",16:00:00,0,0,0,50,0.5,"-"
"8/26/04",16:58:00,2,0,0,880,3,"-"
"8/26/04",17:25:00,0,0,0,100,2,"-"
"8/26/04",17:30:00,2,0,0,1200,7,"-"
"8/26/04",19:13:00,0,0,0,50,0.5,"-"
